readID	seqID	taxID	score	2ndBestScore	hitLength	queryLength	numMatches
example.fq.000000000	NC_006368.1	297246	11714	0	182	200	1
example.fq.000000001	NC_002942.5	272624	12125	0	185	200	1
example.fq.000000002	NC_006368.1	297246	14450	0	200	200	1
example.fq.000000003	NC_006368.1	297246	4090	2409	182	200	1
example.fq.000000004	NC_002942.5	272624	10361	0	171	200	1
example.fq.000000005	NC_002942.5	272624	5786	400	159	200	1
example.fq.000000006	NC_002942.5	272624	14281	0	199	200	1
example.fq.000000007	NC_006368.1	297246	12554	0	188	200	1
example.fq.000000008	NC_006368.1	297246	13466	7225	194	200	1
example.fq.000000009	NC_002942.5	272624	12409	7225	187	200	1
example.fq.000000010	NC_002942.5	272624	9409	0	167	200	1
example.fq.000000011	NC_002942.5	272624	9457	0	163	200	1
example.fq.000000012	NC_002942.5	272624	9465	256	194	200	1
example.fq.000000013	NC_002942.5	272624	9654	49	189	200	1
example.fq.000000014	NC_006368.1	297246	4586	3430	180	200	1
example.fq.000000015	NC_006368.1	297246	13130	0	192	200	1
example.fq.000000016	NC_006368.1	297246	14450	7225	200	200	1
example.fq.000000017	NC_006368.1	297246	14450	7225	200	200	1
example.fq.000000018	NC_006368.1	297246	10088	0	170	200	1
example.fq.000000019	NC_006368.1	297246	10081	3025	169	200	1
example.fq.000000020	NC_006368.1	297246	11584	0	182	200	1
example.fq.000000021	NC_002942.5	272624	13949	6724	197	200	1
example.fq.000000022	NC_002942.5	272624	8217	2441	190	200	1
example.fq.000000023	NC_006368.1	297246	12850	0	190	200	1
example.fq.000000024	NC_002942.5	272624	14281	0	199	200	1
example.fq.000000025	NC_006368.1	297246	11281	0	179	200	1
example.fq.000000026	NC_002942.5	272624	5357	3757	168	200	1
example.fq.000000027	NC_002942.5	272624	11321	0	179	200	1
example.fq.000000028	NC_006368.1	297246	11729	0	183	200	1
example.fq.000000029	NC_002942.5	272624	11281	0	179	200	1
example.fq.000000030	NC_002942.5	272624	12701	0	189	200	1
example.fq.000000031	NC_006368.1	297246	13786	0	196	200	1
example.fq.000000032	NC_006368.1	297246	10710	7346	199	200	1
example.fq.000000033	NC_002942.5	272624	9434	0	162	200	1
example.fq.000000034	NC_002942.5	272624	9617	2561	198	200	1
example.fq.000000035	NC_002942.5	272624	14281	0	199	200	1
example.fq.000000036	NC_006368.1	297246	11321	0	179	200	1
example.fq.000000037	NC_002942.5	272624	7121	0	149	200	1
example.fq.000000038	NC_006368.1	297246	11581	4356	181	200	1
example.fq.000000039	NC_006368.1	297246	14450	0	200	200	1
example.fq.000000040	NC_006368.1	297246	12125	0	185	200	1
example.fq.000000041	NC_002942.5	272624	7650	81	177	200	1
example.fq.000000042	NC_006368.1	297246	14450	7225	200	200	1
example.fq.000000043	NC_002942.5	272624	6138	144	184	200	1
example.fq.000000044	NC_006368.1	297246	14450	7225	200	200	1
example.fq.000000045	NC_002942.5	272624	14281	0	199	200	1
